developer_name,developer_address,developer_contact_person,developer_project_developer_subsidiary_name,developer_project_project_name,developer_project_address,developer_project_contact_person,developer_project_email,developer_project_commission_rate,developer_project_sales_cluster
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Scapes Bauan,"Barangay As-is Bauan, Batangas, Bauan - Batangas Provincial Rd, Batangas, 4201 Batangas",Johnny Boyega,j.boyega@amaiacorp.com,5,Others
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Scapes Cavite,"Arnaldo Highway, Santiago, , General Trias, 4107 Cavite",Johnny Boyega,j.boyega@amaiacorp.com,5,Others
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Scapes Laguna,"Amaia Scapes Calamba Laguna, Calamba - Tagaytay Rd, Calamba, Laguna",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Scapes Pampanga,"Magalang-Angeles Road, Mexico, Pampanga",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Series Novaliches,"Susano Rd, Novaliches, Quezon City, 1100 Metro Manila",Johnny Boyega,j.boyega@amaiacorp.com,5,Others
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Skies Avenida,N/A,Johnny Boyega,j.boyega@amaiacorp.com,5,Metro Mid Cluster
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Skies Cubao,N/A,Johnny Boyega,j.boyega@amaiacorp.com,5,Metro Mid Cluster
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Skies Shaw,"Samat, Mandaluyong, Kalakhang Maynila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro Mid Cluster
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Skies Sta. Mesa,Alabang,Johnny Boyega,j.boyega@amaiacorp.com,5,Metro Mid Cluster
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Steps Bicutan,"South Luzon West Service Road corner, Sun Valley Dr, Parañaque, Metro Manila",Johnny Boyega,j.boyega@amaiacorp.com,5,LAMP Cluster
